card_id,set_id,set_position,card_stat_display,image_name,attribute,cost,description,description_eng,disposal,before_evolution_uid,evolution_uid,max_level,initial_level,skill_name,skill_name_eng,name,name_eng,rarity,strongest_level,skill_description,skill_description_eng,initial_attack_base,initial_defense_base,max_attack_base,max_defense_base,macarons,type,ringable,created_at
1,1,1,1,2dbb017a87fc94aaa5d06fc7be7d9be3,SWEET,6,こんにちは。キミ…二年生ね？私は日野奏恵。三年生なの。もしかして吹奏楽部とかって、興味あったりする？,,150,NULL,2,20,1,なし,,日野奏恵,,N,20,なし,,648,552,2187,1863,NULL,NULL,NULL,2016-10-30 23-54-0
2,1,2,2,7fa75b40817ec829827f958efac595e6,SWEET,6,一番得意なのが、このトランペットなの。部活の練習だけじゃ足りないから、たまに近くの河原で練習したりするのよ。今度…聞きに来てみたり…しない？,,225,1,3,20,1,なし,,日野奏恵+,,N,20,なし,,777,662,2624,2235,NULL,NULL,NULL,2016-10-30 23-54-0
3,1,3,3,9d6c8b70a3176cd3a9562244fbde4c1f,SWEET,6,ほ?ら♪結構上手でしょ。ここまで上達するのにたくさん練習したの♪いつかプロのプレイヤーになりたい…ニューオリンズで演奏するのが夢なの♪,,450,2,NULL,30,1,なし,,[オーケストラガール]日野奏恵,,HN,20,なし,,972,828,3278,2793,NULL,NULL,NULL,2016-10-30 23-54-0
388,388,1,1,c99c82c0ba414149e9511aa228bb9a75,SWEET,6,クリスマスだから服を合わせてみたんだけどどうかな？ 似合ってるかな？え？ 可愛いって？ ありがとう嬉しい。えへへ、がんばった甲斐があったよ♪,,150,NULL,389,20,1,なし,,[クリスマス]日野奏恵,,N,20,なし,,462,588,1617,2058,NULL,NULL,NULL,2016-10-30 23-54-0
389,388,2,2,3d3e5ad3f04ee88ee7e5294b4978a3d7,SWEET,6,ちょっと恥ずかしいけどこれでどうかな？○○○君はこういうの好きなんだ？おへそが出てて、ちょっと寒いかも。もぉ?、そこばっかり見ちゃダメだよ！,,225,388,390,20,1,なし,,[クリスマス]日野奏恵+,,N,20,なし,,554,705,1940,2469,NULL,NULL,NULL,2016-10-30 23-54-0
390,388,3,3,5d1f01413b4f3d322c9e7cb9c4259ac9,SWEET,6,○○○君、早く料理を取りに行かないとみーんななくなっちゃうよ？ クスッ…。私に見とれてくれるのは嬉しいけど、クリスマスだから楽しみましょう♪,,450,389,NULL,30,1,なし,,[サンタ楽隊]日野奏恵,,HN,20,なし,,693,882,2424,3085,NULL,NULL,NULL,2016-10-30 23-54-0
4041,4041,1,1,6ceb60419740b5269d7e7d1f37392b66,SWEET,9,…楽譜はちゃんとそろってる？念のため、きちんと確認しておくようにね。あ、○○○くん。見に来てくれたんだ。…そこにいると、ぶつかるから危ないよ？,,5000,NULL,4042,40,1,応援の一曲いくよ?,,[合奏コンクール]日野奏恵,,R,80,全タイプの守援小DOWN,,432,368,1587,1352,NULL,NULL,NULL,2016-10-30 23-54-0
4042,4041,2,2,07047c8904ae51958b9f4c9447286759,SWEET,9,…自分たちの演奏が終わっちゃったから、後は気楽に？ふふ、そうなんだね。吹奏楽部としては、皆に負けてられないよ。がんばるから、しっかり見てて頂戴ね。,,7500,4041,4043,40,1,応援の一曲いくよ?,,[合奏コンクール]日野奏恵+,,R,80,全タイプの守援小DOWN,,518,441,1905,1622,NULL,NULL,NULL,2016-10-30 23-54-0
4043,4041,3,3,b66117a9bd3744b991762d4018f33205,SWEET,9,うん、皆いい緊張感で演奏できてる。これなら最後までしっかりやれそうだね。…さあ、そろそろ私たちのパートだ…特別じゃない、いつも通りの音で行こうっ。,,15000,4042,NULL,50,1,応援の一曲いくよ?,,[本領発揮]日野奏恵,,HR,80,全タイプの守援小DOWN,,648,552,2380,2027,NULL,NULL,NULL,2016-10-30 23-54-0
82,82,1,1,f3c207482d1ba5d1c881d653626a498f,SWEET,3,あれ？同じクラスの○○○クンだよね？我がかるた部に、一体何の用かな？見学したいのなら、まずは靴を脱いでね。私、伊勢崎郁歩。いっぺん勝負してみる？,,150,NULL,83,20,1,なし,,伊勢崎郁歩,,N,20,なし,,540,460,1903,1621,NULL,NULL,NULL,2016-10-30 23-54-0
83,82,2,2,79d05795587b2a3be2c4304a58be236e,SWEET,3,私は、クイーンを目指してるんだ。クイーンって、女流かるたの頂点のこと。今はまだ実力が足りないけど、努力して経験を積めば、きっとなれるはず！,,225,82,84,20,1,なし,,伊勢崎郁歩+,,N,20,なし,,648,552,2284,1945,NULL,NULL,NULL,2016-10-30 23-54-0
84,82,3,3,6eeb70cb1c72402348132ddc43f9c269,SWEET,3,○○○、かるたに興味が出てきた？それじゃ、今から一勝負やってみようか！私の練習に付き合ってくれるんなら、いつでもどこでも相手になってあげるから！,,450,83,NULL,30,1,なし,,[朝ぼらけ]伊勢崎郁歩,,HN,20,なし,,810,690,2853,2431,NULL,NULL,NULL,2016-10-30 23-54-0
