girl_id,name_official_eng,name_romanization_eng,name,image_name,age,authority,birthday_date,birthday,blood,bust,class_name,club,club_eng,cv,cv_eng,description,description_eng,favorite_food,favorite_food_eng,favorite_subject,favorite_subject_eng,girl_type,hated_food,hated_food_eng,height,hip,hobby,hobby_eng,horoscope,horoscope_eng,name_hiragana,nickname,nickname_eng,school,school_eng,tweet_name,waist,weight,year,created_at
1,Kanae Hino,Kanae Hino,日野奏恵,73813af3618e0a78971564ff6146e9a5,18,Students,2015-10-25,1982-10-25,A,82,3B,吹奏楽部,Brass Band,,,吹奏楽部所属でトランペットを担当。<br>ジャズが好きで、<br>いつかプロになってジャズ生誕の地ニューオリンズでトランペットを吹くことが夢。<br>真面目な性格で河原で練習することもしばしば。,,ちくわ,Fish Sausage,音楽,Music,SWEET,いくら,None,163,80,ジャズ鑑賞,Listening To Jazz,さそり座,Scorpio,ひの かなえ,日野先輩,,聖櫻学園,Seiou Academy,kana_melody,56,45,3,2016-10-30 23:41:30
2,Ikuho Isezaki,Ikuho Isezaki,伊勢崎郁歩,fba7fd1bd5562e1d11c10e492aa52a12,17,Students,2015-05-27,1983-05-27,B,75,2C,かるた部,Karuta Club,宝木久美,Kumi Takaragi,競技かるたに情熱を傾ける2年生。<br>真面目かつ前向きな熱血少女で、<br>話題のほとんどがかるたに関すること。<br>かるたクイーンを目指して鍛錬の日々を送っており、毎朝の特訓を欠かさない。,,せんべい,Crackers,古典,Classic Literature,SWEET,カリフラワー,Cauliflower,157,80,百人一首、昼寝,Playing Karuta and Napping,ふたご座,Gemini,いせざき いくほ,伊勢崎,,聖櫻学園,Seiou Academy,isezakiiroha,55,48,2,2016-10-30 23:41:30
3,Tamaki Hayashida,Tamaki Hayashida,林田たまき,7853ad71d7ca2f83b3576e3ca9b0bde4,18,Students,2015-10-10,1982-10-10,O,78,3C,応援団,Cheerleader,北原沙弥香,Sayaka Kitahara,"頑張っている人の力になりたくて応援団に入った。<br>
姉御肌で、主人公に対しても自分のことを「お姉ちゃん」と言っている。<br>
1年生の林田希羅は妹。見た目がギャル系の妹とはタイプが逆だが、仲は非常に良い。",,ポテトサラダ,Potato Salad,家庭科,Home Economics,SWEET,グミ,Gummi Candy,160,75,スポーツ観戦,Watching Sports,てんびん座,Libra,はやしだ たまき,林田先輩,,聖櫻学園,Seiou Academy,anehayashi,58,49,3,2016-10-30 23:41:30
4,Izumi Shimada,Izumi Shimada,島田泉,1423389b151ac2991751f82cf17f8824,15,Students,2015-12-03,1985-12-03,A,77,1B,手品研究会,Magic Study Group,,,いつも明るく元気な1年生。<br>得意の手品で人を驚かせることが好きで、<br>普段から研究と鍛錬に余念がない。<br>仲良くなると「切断手品の実験台になって欲しい」などと少し怖いお願いをされることも。,,マシュマロ,Marshmallow,美術,Art,SWEET,ゼリー,Jelly,154,78,トランプ,Trump,いて座,Sagittarius,しまだ いずみ,島田,,聖櫻学園,Seiou Academy,magic_island,53,43,1,2016-10-30 23:41:30
5,Chiyori Nabeshima,Chiyori Nabeshima,鍋島ちより,b74cd5d64c1d002bc2fceda915a389b8,17,Students,2015-01-21,1983-01-21,O,81,3A,料理部,Cooking Club,塙愛美,Manami Hanawa,"制服よりもかっぽう着が似合う（？）。<br>
お姉さんというよりお母さんタイプの料理部の3年生。<br>
料理だけでなく家事全般が得意。<br>
落ち着いて所帯じみているせいか、<br>
女子高生に見られないのが本人の悩み。",,肉じゃが,Meat and Potatoes,家庭科,Home Economics,SWEET,なし,None,159,83,お米砥ぎ,Cooking Rice in as Many Ways as Possible,みずがめ座,Aquarius,なべしま ちより,鍋島先輩,,聖櫻学園,Seiou Academy,chiyopan,62,46,3,2016-10-30 23:41:30
6,Megumi Ogura,Megumi Ogura,小倉愛,c031d7481e7e8b8345fe48e0c6de5b09,16,Students,2015-09-23,1984-09-23,A,78,1B,テニス部,Tennis Club,タカオユキ,Yuki Takao,妹オーラを振りまくテニス部所属の1年生。<br>明るい性格で、<br>可愛いものや甘いものが好き。<br>細身で小柄なせいか小学生と間違われることもあり、もう少し身長が欲しいと思っている。,,ワッフル,Waffles,体育,Physical Education,SWEET,なまこ,Sea Cucumbers,156,80,テニス、,Playing Tennis,おとめ座,Libra,おぐら めぐみ,小倉,,聖櫻学園,Seiou Academy,meguchi,58,46,1,2016-10-30 23:41:30
7,Tatsuru Iwamoto,Tatsuru Iwamoto,岩本樹,db908c2f6761ea0a5df5f30b9a0819b2,16,Students,2015-02-11,1984-02-11,AB,73,2A,歴史研究会,History Study Group,世戸さおり,Saori Seto,歴史研究会に所属する2年生。<br>軍事オタクで普段から軍人のような口調で話し、生真面目で厳しい。<br>一人称は「自分」。<br>同じ歴史研究会に所属する前田彩賀と趣味はまるで違うものの、仲は良いようだ。,,レーション,Rations,近代史,Modern History,COOL,カボチャ,Pumpkin,164,76,プラモデル,Constructing Plastic Models,みずがめ座,Aquarius,いわもと たつる,岩本,,聖櫻学園,Seiou Academy,sergeant_rock,57,49,2,2016-10-30 23:41:30
8,Saika Maeda,Saika Maeda,前田彩賀,877c711acd65927fe68357d422117e4d,16,Students,2015-01-15,1984-01-15,B,76,2A,歴史研究会,History Study Group,石黒千尋,Chihiro Ishiguro,"歴史研究部に所属する、いわゆる歴女。<br>
普段から古めかしい言葉づかいを好み、<br>
自ら”もののふ”と自称する。<br>
幕末よりも戦国時代が好きで、<br>
なんでも戦国武将の故事に例える癖がある。",,みかん,Mikan,日本史,Japanese History,COOL,カステーラ,Castella,159,78,全国顔出し看板撮影制覇,Taking Pictures of Signboards Across The Nation,やぎ座,Capricorn,まえだ さいか,前田,,聖櫻学園,Seiou Academy,kagahan,58,49,2,2016-10-30 23:41:30
9,Mitsuko Kaito,Mitsuko Kaito,皆藤蜜子,24d1e95b66e45e2b92f533ef1adb8dcf,18,Students,2015-09-01,1982-09-01,AB,100,3C,書道部,Calligraphy Club,たかはし智秋,Chiaki Takahashi,校内最大のバストの持ち主で、<br>過剰な色気を振りまく書道部員。<br>会話に四字熟語を良く使う一方で、周囲をドキッとさせる含みを持たせた言動も多い。<br>後輩の白瀬つづりと仲が良く、しばしば行動を共にしている。,,バナナ,Bananas,古典,Classic Literature,COOL,なし,None,168,85,書道、サウナ,Practicing Calligraphy and Relaxing in Saunas,おとめ座,Virgo,かいとう みつこ,皆藤先輩,,聖櫻学園,Seiou Academy,kaimitsu,58,53,3,2016-10-30 23:41:30
10,Misuzu Toyama,Misuzu Toyama,遠山未涼,d0cc263aa9c65622e448f8efbbe1b18b,17,Students,2015-07-23,1983-07-23,A,70,2C,数学研究会,Mathematics Study Group,前田玲奈,Rena Maeda,"頭脳明晰で、常に学年トップクラスの成績をキープする優等生。<br>
勉強ひとすじのせいか生真面目で融通が利かず、性格がきつい。<br>
小学校2年生の頃から眼鏡をかけているが、最近はコンタクトに興味があるらしい。",,マグロ,Tuna,数学,Mathematics,COOL,シュークリーム,Cream Puff,160,70,暗記,Memorizing Things,しし座,Leo,とおやま みすず,遠山,,聖櫻学園,Seiou Academy,t_misuzu,56,45,2,2016-10-30 23:41:30
