set_id,set_type,set_name_initial,set_name_initial_eng,set_name_final,set_name_final_eng,created_at
1,normal,ストック,Stock,オーケストラガール,,2016-10-30 22:19:50
4,normal,ストック,Stock,茶道美女,,2016-10-30 22:19:50
7,normal,ストック,Stock,応援愛好家,,2016-10-30 22:19:50
10,normal,ストック,Stock,大奇術師,,2016-10-30 22:19:50
13,normal,ストック,Stock,お料理女子,,2016-10-30 22:19:50
16,normal,ストック,Stock,庭球の蕾,,2016-10-30 22:19:50
19,normal,ストック,Stock,全軍突撃,,2016-10-30 22:19:50
22,normal,ストック,Stock,妄想城主,,2016-10-30 22:19:50
25,normal,ストック,Stock,お色気書道,,2016-10-30 22:19:50
28,normal,ストック,Stock,勉学女史,,2016-10-30 22:19:50
31,normal,ストック,Stock,ワルキューレ,,2016-10-30 22:19:50
34,normal,ストック,Stock,購買美人,,2016-10-30 22:19:50
37,normal,ストック,Stock,ドッキリメイカー,,2016-10-30 22:19:50
40,normal,ストック,Stock,現代姫,,2016-10-30 22:19:50
43,normal,ストック,Stock,ポップダンサー,,2016-10-30 22:19:50
46,normal,ストック,Stock,速弾きベイビー,,2016-10-30 22:19:50
49,normal,ストック,Stock,ピンポンJK,,2016-10-30 22:19:50
52,normal,ストック,Stock,なでしこ魂,,2016-10-30 22:19:50
55,normal,ストック,Stock,ＳＦマニア,,2016-10-30 22:19:50
58,normal,ストック,Stock,未来夢想,,2016-10-30 22:19:50
61,normal,ストック,Stock,ドジッ娘,,2016-10-30 22:19:50
64,normal,ストック,Stock,日々努力,,2016-10-30 22:19:50
67,normal,ストック,Stock,保健医,,2016-10-30 22:19:50
70,normal,ストック,Stock,保健室の主,,2016-10-30 22:19:50
73,normal,ストック,Stock,舞姫の卵,,2016-10-30 22:19:50
76,normal,ストック,Stock,ミニリズム,,2016-10-30 22:19:50
79,normal,ストック,Stock,アニマルブリーダー,,2016-10-30 22:19:50
82,normal,ストック,Stock,朝ぼらけ,,2016-10-30 22:19:50
85,normal,ストック,Stock,シャトルっ子,,2016-10-30 22:19:50
88,normal,ストック,Stock,勘違いアイドル,,2016-10-30 22:19:50
91,normal,ストック,Stock,孤高の剣士,,2016-10-30 22:19:50
94,normal,ストック,Stock,走死走愛,,2016-10-30 22:19:50
97,normal,ストック,Stock,ツンデレ幼馴染,,2016-10-30 22:19:50
100,normal,ストック,Stock,野次馬魂,,2016-10-30 22:19:50
103,normal,ストック,Stock,サタンの調べ,,2016-10-30 22:19:50
106,normal,ストック,Stock,蒼星の美麗,,2016-10-30 22:19:50
109,normal,ストック,Stock,拳法少女,,2016-10-30 22:19:50
112,normal,ストック,Stock,No.1シューター,,2016-10-30 22:19:50
115,normal,ストック,Stock,ミス・チアフル,,2016-10-30 22:19:50
